SL,CLUBS,GOALS_SAVED,PLAYERS,GOALS_SCORED,POSTION,NATIONALITY,SALARY,PLAYERS
97,EVERTON,0,ANTHONY GORDAN,2,Forward,England," € 6,20,000.00 ",ANTHONY GORDAN
98,EVERTON,0,DEMARAI GRAY,5,Forward,england," € 25,00,000.00 ",DEMARAI GRAY
99,EVERTON,0,SALOMÓN RONDÓN,1,Forward,Venezula," € 37,40,000.00 ",SALOMÓN RONDÓN
100,EVERTON,0,Allan,0,Midfielder,Brazil," € 43,60,000.00 ",Allan
101,EVERTON,0,ABDOULAYE DOUCOURÉ,2,Midfielder,France," € 13,00,000.00 ",ABDOULAYE DOUCOURÉ
102,EVERTON,0,FABIANDELPH,0,Midfielder,England," € 50,00,000.00 ",FABIANDELPH
103,EVERTON,0,MICHAEL KEANE,1,Defender,England," € 36,00,000.00 ",MICHAEL KEANE
104,EVERTON,0,LUCAS DIGNE,0,Defender,France," € 30,00,000.00 ",LUCAS DIGNE
105,EVERTON,0,BEN GODFREY,0,Defender,England," € 5,50,000.00 ",BEN GODFREY
106,EVERTON,53,JORDAN PICKFORD,0,Goalkeeper,England," € 37,00,000.00 ",JORDAN PICKFORD
107,EVERTON,0,ASMIR BEGOVIC,0,Goalkeeper,Bosnia," € 42,00,000.00 ",ASMIR BEGOVIC
108,EVERTON,0,ANDY LONERGAN,0,Goalkeeper,England," € 2,50,000.00 ",ANDY LONERGAN
109,LEICHESTER CITY,0,Ademola Lookman,3,Forward,England," € 14,00,000.00 ",Ademola Lookman
110,LEICHESTER CITY,0,Kelechi Iheanacho,2,Forward,Nigeria," € 31,00,000.00 ",Kelechi Iheanacho
111,LEICHESTER CITY,0,Jamie Vardy,9,Forward,England," € 72,00,000.00 ",Jamie Vardy
112,LEICHESTER CITY,0,James Maddison,5,Mid-Fielder,England," € 57,20,000.00 ",James Maddison
113,LEICHESTER CITY,0,Youri Tielemans,5,Mid-Fielder,Belgium," € 17,00,000.00 ",Youri Tielemans
114,LEICHESTER CITY,0,Harvey Barnes,2,Mid-Fielder,England," € 5,20,000.00 ",Harvey Barnes
115,LEICHESTER CITY,0,Çaglar Söyüncü,1,Defender,Turkey," € 23,50,000.00 ",Çaglar Söyüncü
116,LEICHESTER CITY,0,Jonny Evans,1,Defender,Ireland," € 41,00,000.00 ",Jonny Evans
117,LEICHESTER CITY,0,Timothy Castagne,0,Defender,Belgium," € 33,00,000.00 ",Timothy Castagne
118,LEICHESTER CITY,62,Kasper Schmeichel,0,Goalkeeper,Denmark," € 67,60,000.00 ",Kasper Schmeichel
119,LEICHESTER CITY,0,Danny Ward,0,Goalkeeper,Wales," € 10,40,000.00 ",Danny Ward
120,LEICHESTER CITY,0,Eldin Jakupovic,0,Goalkeeper,Switzerland," € 12,00,000.00 ",Eldin Jakupovic
