SL,CLUBS,GOALS_SAVED,PLAYERS,GOALS_SCORED,POSTION,NATIONALITY,SALARY,PLAYERS
73,NEW CASTLE UTD,0,Callum Wilson,6,Forward,England,2400000.00,Callum Wilson
74,NEW CASTLE UTD,0,Allan Saint-Maximin,4,Forward,France,2000000.00,Allan Saint-Maximin
75,NEW CASTLE UTD,0,Dwight Gayle,0,Forward,England,2080000.00,Dwight Gayle
76,NEW CASTLE UTD,0,Joseph Willhock,0,Midfielder,England,2000000.00,Joseph Willhock
77,NEW CASTLE UTD,0,Sean Longstaff,1,Midfielder,England,52000.00,Sean Longstaff
78,NEW CASTLE UTD,0,Jacob Murphy,1,Midfielder,England,1300000.00,Jacob Murphy
79,NEW CASTLE UTD,0,Ciaran Clark,0,Defender,Ireland,1820000.00,Ciaran Clark
80,NEW CASTLE UTD,0,Jamaal Lascelles,1,Defender,England,2080000.00,Jamaal Lascelles
81,NEW CASTLE UTD,0,Javier Manquillo,1,Defender,Spain,1820000.00,Javier Manquillo
82,NEW CASTLE UTD,22,Martin Dubravka,0,Goalkeeper,Slovakia,1980000.00,Martin Dubravka
83,NEW CASTLE UTD,24,Freddie Woodman,0,Goalkeeper,England,156000.00,Freddie Woodman
84,NEW CASTLE UTD,10,Karl Darlow,0,Goalkeeper,England,1300000.00,Karl Darlow
85,WEST HAM UNITED,0,Said Benrahma,5,Forward,Algeria,1200000.00,Said Benrahma
86,WEST HAM UNITED,0,Jarrod Bowen,3,Forward,England,5000000.00,Jarrod Bowen
87,WEST HAM UNITED,0,Michail Antonio,8,Forward,Jamiaca,3640000.00,Michail Antonio
88,WEST HAM UNITED,0,Declan Rice,1,Midfielder,England,156000.00,Declan Rice
89,WEST HAM UNITED,0,Tomas Soucek,3,Midfielder,Czech Republic,3500000.00,Tomas Soucek
90,WEST HAM UNITED,0,Pablo Fornals,4,Midfielder,Spain,3500000.00,Pablo Fornals
91,WEST HAM UNITED,0,Aaron Creswell,0,Defender,England,2600000.00,Aaron Creswell
92,WEST HAM UNITED,0,Vladimir Coufal,1,Defender,Czech Republic,1600000.00,Vladimir Coufal
93,WEST HAM UNITED,0,Craig Dawson,1,Defender,England,2200000.00,Craig Dawson
94,WEST HAM UNITED,65,Lukasz Fabianski,0,Goalkeeper,Poland,3400000.00,Lukasz Fabianski
95,WEST HAM UNITED,0,David Martin,0,Goalkeeper,England,55000.00,David Martin
96,WEST HAM UNITED,0,Darren Randolph,0,Goalkeeper,Ireland,2100000.00,Darren Randolph
