SL,CLUBS,GOALS_SAVED,PLAYERS,GOALS_SCORED,POSTION,NATIONALITY,SALARY,PLAYERS
1,ARSENAL,0,Gabriel Martinelli,4,Forward,Brazil,560000.00,Gabriel Martinelli
2,ARSENAL,0,Pierre-Emerick Aubameyang,4,Forward,Gabon,1550000.00,Pierre-Emerick Aubameyang
3,ARSENAL,0,Alexandre Lacazette,3,Forward,France,1130000.00,Alexandre Lacazette
4,ARSENAL,0,Martin Odegaard,4,Midfielder,Norway,500000.00,Martin Odegaard
5,ARSENAL,0,Albert Sambi Lokonga,0,Midfielder,Belgium,1200000.00,Albert Sambi Lokonga
6,ARSENAL,0,Bukayo Saka,6,Midfielder,England,1800000.00,Bukayo Saka
7,ARSENAL,0,Benjamin White,0,Defender,England,7400000.00,Benjamin White
8,ARSENAL,0,Takehiro Tomiyasu,0,Defender,Japan,1500000.00,Takehiro Tomiyasu
9,ARSENAL,0,Nuno Tavares,0,Defender,Portugal,1600000.00,Nuno Tavares
10,ARSENAL,55,Aaron Ramsdale,0,GoalKeeper,England,2400000.00,Aaron Ramsdale
11,ARSENAL,9,Bernd Leno,0,GoalKeeper,Germany,6200000.00,Bernd Leno
12,ARSENAL,0,Arthur Okonkwo,0,Goalkeeper,England,155800.00,Arthur Okonkwo
13,CHELSEA,0,Romelu Lukaku,5,Forward,Belgium,12000000.00,Romelu Lukaku
14,CHELSEA,0,Callum Hudson-Odoi,1,Forward,England,6200000.00,Callum Hudson-Odoi
15,CHELSEA,0,Timo Werner,1,Forward,Germany,20000000.00,Timo Werner
16,CHELSEA,0,Jorginho,6,Midfielder,Italy,7000000.00,Jorginho
17,CHELSEA,0,N'Golo Kante,2,Midfielder,France,18000000.00,N'Golo Kante
18,CHELSEA,0,Mateo Kovacic,2,Midfielder,Croatian,7000000.00,Mateo Kovacic
19,CHELSEA,0,Antonio Rudiger,2,Defender,Germany,6200000.00,Antonio Rudiger
20,CHELSEA,0,Thiago Silva,2,Defender,Brazil,12000000.00,Thiago Silva
21,CHELSEA,0,Marcos Alonso,1,Defender,Spain,7000000.00,Marcos Alonso
22,CHELSEA,55,Edouard Mendy,0,GoalKeeper,Senegal,3200000.00,Edouard Mendy
23,CHELSEA,2,Kepa Arrizabalaga,0,GoalKeeper,Spain,9600000.00,Kepa Arrizabalaga
24,CHELSEA,0,Marcus Bettinelli,0,GoalKeeper,England,2160000.00,Marcus Bettinelli
25,MANCHESTER UNITED,0,Cristiano Ronaldo,8,Forward,Portugal,26500000.00,Cristiano Ronaldo
26,MANCHESTER UNITED,0,Jadon Sancho,1,Forward,England,18200000.00,Jadon Sancho
27,MANCHESTER UNITED,0,Mason Greenwood,4,Forward,England,3900000.00,Mason Greenwood
28,MANCHESTER UNITED,0,Bruno Fernandes,5,Midfielder,Portugal,10200000.00,Bruno Fernandes
29,MANCHESTER UNITED,0,Fred,2,Midfielder,Brazil,920000.00,Fred
30,MANCHESTER UNITED,0,Scott McTominay,1,Midfielder,Scotland,1040000.00,Scott McTominay
31,MANCHESTER UNITED,0,Raphaël Varane,0,Defender,France,17800000.00,Raphaël Varane
32,MANCHESTER UNITED,0,Harry Maguire,0,Defender,England,9800000.00,Harry Maguire
33,MANCHESTER UNITED,0,Luke Shaw,0,Defender,England,7800000.00,Luke Shaw
34,MANCHESTER UNITED,67,David De Gea,0,Goalkeeper,Spain,19500000.00,David De Gea
35,MANCHESTER UNITED,0,Tom Heaton,0,Goalkeeper,England,21000.00,Tom Heaton
36,MANCHESTER UNITED,0,Lee Grant,0,Goalkeeper,England,16000.00,Lee Grant
37,MANCHESTER CITY,0,Raheem Sterling,7,Forward,England,18700000.00,Raheem Sterling
38,MANCHESTER CITY,0,Gabriel Jesus,2,Forward,Brazil,5600000.00,Gabriel Jesus
39,MANCHESTER CITY,0,Riyadh Mahrez,6,Forward,Algeria,7400000.00,Riyadh Mahrez
40,MANCHESTER CITY,0,Bernado Silva,7,MidFielder,Portugal,9300000.00,Bernado Silva
41,MANCHESTER CITY,0,Rodrigo Hernandez,3,MidFielder,Spain,7500000.00,Rodrigo Hernandez
42,MANCHESTER CITY,0,Kevin De Bruyne,5,MidFielder,Belgium,24900000.00,Kevin De Bruyne
43,MANCHESTER CITY,0,Ruben Dias,2,Defender,Portugal,7100000.00,Ruben Dias
44,MANCHESTER CITY,0,Joao Cancelo,1,Defender,Portugal,4900000.00,Joao Cancelo
45,MANCHESTER CITY,0,Ayomeric Laporte,2,Defender,Spain,7400000.00,Ayomeric Laporte
46,MANCHESTER CITY,34,Ederson Moraes,0,GoalKeeper,Brazil,3700000.00,Ederson Moraes
47,MANCHESTER CITY,0,Scott Carson,0,GoalKeeper,England,250000.00,Scott Carson
48,MANCHESTER CITY,0,Zack Steffen,0,GoalKeeper,United States,200000.00,Zack Steffen
